gait number,px,py,pz,vx,vy,vz,ax,ay,az,
13,-4.65251e-05,-0.000262444,-0.00225888,-0.00211561,-0.0171416,0.00367926,0.0261773,0.0121502,0.00318438,
13,-6.59087e-05,-0.000459661,-0.00298149,-0.00176111,-0.0223017,0.00592228,0.0294504,0.0055875,0.0110168,
13,-8.58719e-05,-0.00071131,-0.00367684,-0.00223154,-0.0280281,0.00913414,0.00935928,0.000602934,0.0229364,
13,-0.000114754,-0.00102202,-0.00433319,-0.00354491,-0.0341148,0.0137203,0.012265,-0.00175663,0.0390344,
13,-0.000154468,-0.0013979,-0.0049386,-0.00439789,-0.0410614,0.0193217,0.0187454,-0.0169295,0.0436363,
13,-0.000203913,-0.00184435,-0.00548143,-0.00549117,-0.048227,0.0262384,0.00736606,-0.00622075,0.0658479,
13,-0.000261211,-0.00235987,-0.00594979,-0.00596828,-0.054878,0.034214,0.0313073,-0.00643988,0.0652271,
13,-0.000312432,-0.00295057,-0.00633574,-0.00427599,-0.0632611,0.0427208,0.0515946,-0.0415316,0.0766759,
13,-0.000352433,-0.00364221,-0.00662665,-0.00372419,-0.0750678,0.053222,0.0080556,-0.0762392,0.105887,
13,-0.000404501,-0.00447416,-0.0067978,-0.00668937,-0.0913223,0.0666738,-0.0201075,-0.132209,0.136831,
13,-0.00048875,-0.00547438,-0.00682811,-0.0101606,-0.108722,0.081389,-0.00226077,-0.0995989,0.131646,
13,-0.000601779,-0.0066493,-0.00670714,-0.0124452,-0.126261,0.0969301,0.00408328,-0.135021,0.153667,
13,-0.000747773,-0.00801202,-0.00642451,-0.0167534,-0.146283,0.11372,-0.0435152,-0.150247,0.157109,
13,-0.000945543,-0.00958013,-0.0059781,-0.0228006,-0.167339,0.129687,-0.0313706,-0.156085,0.136886,
13,-0.00120667,-0.0113673,-0.00537168,-0.029424,-0.190093,0.145721,-0.0552632,-0.184874,0.158481,
13,-0.00154454,-0.0133942,-0.00459347,-0.0381504,-0.215291,0.164046,-0.074244,-0.205919,0.183592,
13,-0.00198601,-0.0156867,-0.00362718,-0.0501445,-0.243212,0.183337,-0.121883,-0.240376,0.178169,
13,-0.00256299,-0.0182761,-0.00247786,-0.0652503,-0.274661,0.200651,-0.137685,-0.277844,0.143293,
13,-0.003309,-0.0211963,-0.00114907,-0.0839535,-0.309375,0.219231,-0.195223,-0.306948,0.20398,
13,-0.0042743,-0.0245008,0.000379124,-0.109106,-0.351541,0.240533,-0.269164,-0.429774,0.198782,
13,-0.00552802,-0.0282795,0.00212252,-0.141639,-0.40418,0.262271,-0.345706,-0.520448,0.212857,
13,-0.00714601,-0.0326278,0.00408265,-0.181958,-0.46549,0.283879,-0.427899,-0.606572,0.196155,
13,-0.00922292,-0.037644,0.00626801,-0.233424,-0.537751,0.307318,-0.572943,-0.743709,0.250175,
13,-0.0118564,-0.0434308,0.00871282,-0.293275,-0.619609,0.33577,-0.598871,-0.802219,0.298355,
